,key,LocID,airport name,facility type,FAA region,county,city,state,airport type,latitude,longiutde,Boundary Data Available
717,931.0,OKZ,KAOLIN FIELD,Airport,ASO,WASHINGTON,SANDERSVILLE,GA,Public Use,32.966722,-82.838167,Yes
718,3084.0,ADS,ADDISON,Airport,ASW,DALLAS,DALLAS,TX,Public Use,32.968559,-96.836448,Yes
719,3157.0,E57,DENVER CITY,Airport,ASW,YOAKUM,DENVER CITY,TX,Public Use,32.975103,-102.842153,Yes
720,5184.0,4T2,KENNETH COPELAND,Airport,ASW,TARRANT,FORT WORTH,TX,Public Use,32.97925,-97.491917,No
721,1516.0,SPH,SPRINGHILL,Airport,ASW,WEBSTER,SPRINGHILL,LA,Public Use,32.983444,-93.409167,Yes
722,934.0,2J3,LOUISVILLE MUNI,Airport,ASO,JEFFERSON,LOUISVILLE,GA,Public Use,32.985972,-82.384806,Yes
723,3177.0,AFW,FORT WORTH ALLIANCE,Airport,ASW,TARRANT,FORT WORTH,TX,Public Use,32.987639,-97.318806,Yes
724,4094.0,A39,PHOENIX RGNL,Airport,AWP,PINAL,PHOENIX,AZ,Public Use,32.990806,-111.918528,No
725,500.0,BWC,BRAWLEY MUNI,Airport,AWP,IMPERIAL,BRAWLEY,CA,Public Use,32.992944,-115.516889,Yes
726,2896.0,88J,ALLENDALE COUNTY,Airport,ASO,ALLENDALE,ALLENDALE,SC,Public Use,32.995129,-81.270246,Yes
727,4413.0,L87,IDA'S,Airport,ASW,CADDO,IDA,LA,Public Use,33.004301,-93.893234,No
728,932.0,LGC,LAGRANGE-CALLAWAY,Airport,ASO,TROUP,LAGRANGE,GA,Public Use,33.008861,-85.072611,Yes
729,5220.0,10F,ROSSER RANCH,Airport,ASW,YOUNG,GRAHAM,TX,Public Use,33.015111,-98.626083,No
730,5126.0,F69,AIR PARK-DALLAS,Airport,ASW,COLLIN,DALLAS,TX,Public Use,33.023455,-96.836946,No
731,3114.0,7F3,CADDO MILLS MUNI,Airport,ASW,HUNT,CADDO MILLS,TX,Public Use,33.036222,-96.243139,Yes
732,627.0,RNM,RAMONA,Airport,AWP,SAN DIEGO,RAMONA,CA,Public Use,33.039167,-116.91525,Yes
733,4207.0,BXG,BURKE COUNTY,Airport,ASO,BURKE,WAYNESBORO,GA,Public Use,33.041289,-82.00269,No
734,446.0,E67,KEARNY,Airport,AWP,PINAL,KEARNY,AZ,Public Use,33.047194,-110.909056,Yes
735,3268.0,52F,NORTHWEST RGNL,Airport,ASW,DENTON,ROANOKE,TX,Public Use,33.049845,-97.232238,Yes
736,2946.0,DYB,SUMMERVILLE,Airport,ASO,DORCHESTER,SUMMERVILLE,SC,Public Use,33.063444,-80.279333,Yes
737,3243.0,GVT,MAJORS,Airport,ASW,HUNT,GREENVILLE,TX,Public Use,33.067833,-96.065333,Yes
738,5211.0,16X,PROPWASH,Airport,ASW,DENTON,JUSTIN,TX,Public Use,33.080611,-97.358417,No
739,4087.0,E68,ESTRELLA SAILPORT,Airport,AWP,PINAL,MARICOPA,AZ,Public Use,33.085327,-112.160979,No
740,1980.0,OSX,KOSCIUSKO-ATTALA COUNTY,Airport,ASO,ATTALA,KOSCIUSKO,MS,Public Use,33.09025,-89.542028,Yes
741,5202.0,OSA,MOUNT PLEASANT RGNL,Airport,ASW,TITUS,MOUNT PLEASANT,TX,Public Use,33.096889,-94.96175,No
742,3196.0,ATA,HALL-MILLER MUNI,Airport,ASW,CASS,ATLANTA,TX,Public Use,33.102528,-94.195028,Yes
743,286.0,AIV,GEORGE DOWNER,Airport,ASO,PICKENS,ALICEVILLE,AL,Public Use,33.106465,-88.197792,Yes
744,3189.0,RPH,GRAHAM MUNI,Airport,ASW,YOUNG,GRAHAM,TX,Public Use,33.110722,-98.554778,Yes
745,1946.0,19M,C. A. MOORE,Airport,ASO,HOLMES,LEXINGTON,MS,Public Use,33.125461,-90.025557,Yes
746,3192.0,8F5,GREATER MORRIS COUNTY,Airport,ASW,MORRIS,DAINGERFIELD,TX,Public Use,33.12679,-94.698817,Yes
747,591.0,CRQ,MC CLELLAN-PALOMAR,Airport,AWP,SAN DIEGO,CARLSBAD,CA,Federalized/Commercial,33.12825,-117.280083,Yes
748,4064.0,7A5,ROANOKE MUNI,Airport,ASO,RANDOLPH,ROANOKE,AL,Public Use,33.129678,-85.372215,No
749,521.0,CLR,CLIFF HATFIELD MEMORIAL,Airport,AWP,IMPERIAL,CALIPATRIA,CA,Public Use,33.131333,-115.521389,Yes
750,5188.0,30F,LAKEVIEW,Airport,ASW,DENTON,LAKE DALLAS,TX,Public Use,33.131389,-97.014194,No
751,5146.0,3T6,CLARK,Airport,ASW,DENTON,JUSTIN,TX,Public Use,33.133611,-97.297028,No
752,1982.0,20M,MACON MUNI,Airport,ASO,NOXUBEE,MACON,MS,Public Use,33.133722,-88.536,Yes
753,1942.0,1M2,BELZONI MUNI,Airport,ASO,HUMPHREYS,BELZONI,MS,Public Use,33.145181,-90.515285,Yes
754,1981.0,LMS,LOUISVILLE WINSTON COUNTY,Airport,ASO,WINSTON,LOUISVILLE,MS,Public Use,33.146194,-89.0625,Yes
755,614.0,L90,OCOTILLO,Airport,AWP,SAN DIEGO,OCOTILLO WELLS,CA,Public Use,33.147778,-116.131583,Yes
756,5212.0,XA0,PROSE FIELD,Airport,ASW,DENTON,JUSTIN,TX,Public Use,33.148167,-97.280028,No
757,5215.0,T76,RHOME MEADOWS,Airport,ASW,WISE,RHOME,TX,Public Use,33.149287,-97.496135,No
758,881.0,MLJ,BALDWIN COUNTY,Airport,ASO,BALDWIN,MILLEDGEVILLE,GA,Public Use,33.154225,-83.241414,Yes
759,3315.0,SLR,SULPHUR SPRINGS MUNI,Airport,ASW,HOPKINS,SULPHUR SPRINGS,TX,Public Use,33.159833,-95.621139,Yes
760,5174.0,58T,HERITAGE CREEK AIRSTRIP,Airport,ASW,WISE,DECATUR,TX,Public Use,33.166028,-97.479889,No
761,305.0,SCD,MERKEL FIELD SYLACAUGA MUNI,Airport,ASO,TALLADEGA,SYLACAUGA,AL,Public Use,33.171833,-86.305528,Yes
762,5230.0,T60,STONEWALL COUNTY,Airport,ASW,STONEWALL,ASPERMONT,TX,Public Use,33.172319,-100.197604,No
763,3323.0,BFE,TERRY COUNTY,Airport,ASW,TERRY,BROWNFIELD,TX,Public Use,33.173139,-102.192917,Yes
764,3108.0,XBP,BRIDGEPORT MUNI,Airport,ASW,WISE,BRIDGEPORT,TX,Public Use,33.175333,-97.828389,Yes
765,3133.0,TKI,COLLIN COUNTY RGNL AT MC KINNEY,Airport,ASW,COLLIN,DALLAS,TX,Public Use,33.177065,-96.588767,Yes
766,322.0,EET,SHELBY COUNTY,Airport,ASO,SHELBY,ALABASTER,AL,Public Use,33.177778,-86.783222,Yes
767,421.0,CRT,Z M JACK STELL FIELD,Airport,ASW,ASHLEY,CROSSETT,AR,Public Use,33.178333,-91.880188,Yes
768,3326.0,72F,THROCKMORTON MUNI,Airport,ASW,THROCKMORTON,THROCKMORTON,TX,Public Use,33.179271,-99.149797,Yes
769,3319.0,2F4,T-BAR,Airport,ASW,LYNN,TAHOKA,TX,Public Use,33.181,-101.819389,Yes
770,1971.0,14M,HOLLANDALE MUNI,Airport,ASO,WASHINGTON,HOLLANDALE,MS,Public Use,33.1825,-90.8305,Yes
771,4213.0,GA2,PEACH STATE,Airport,ASO,PIKE,WILLIAMSON,GA,Public Use,33.183453,-84.37159,No
772,2900.0,MKS,BERKELEY COUNTY,Airport,ASO,BERKELEY,MONCKS CORNER,SC,Public Use,33.1855,-80.03625,Yes
773,358.0,F43,EL DORADO DOWNTOWN-STEVENS FIELD,Airport,ASW,UNION,EL DORADO,AR,Public Use,33.19125,-92.663222,Yes
774,3201.0,15F,HASKELL MUNI,Airport,ASW,HASKELL,HASKELL,TX,Public Use,33.191487,-99.717873,Yes
775,2945.0,6J2,ST GEORGE,Airport,ASO,DORCHESTER,ST GEORGE,SC,Public Use,33.1955,-80.508472,Yes
776,3156.0,DTO,DENTON MUNI,Airport,ASW,DENTON,DENTON,TX,Public Use,33.202099,-97.197946,Yes
777,3284.0,5F1,POST-GARZA COUNTY MUNI,Airport,ASW,GARZA,POST,TX,Public Use,33.203306,-101.338222,Yes
778,3085.0,T31,AERO COUNTRY,Airport,ASW,COLLIN,MC KINNEY,TX,Public Use,33.20845,-96.741941,Yes
779,5164.0,F53,FRANKLIN COUNTY,Airport,ASW,FRANKLIN,MOUNT VERNON,TX,Public Use,33.215333,-95.237222,No
780,5250.0,F98,YOAKUM COUNTY,Airport,ASW,YOAKUM,PLAINS,TX,Public Use,33.217194,-102.830083,No
